row_n,target,prediction,score
254,1,0,0.1462
255,0,0,0.1201
256,0,0,0.0257
257,0,0,0.002
258,0,0,0.0
259,0,0,0.0
260,1,1,0.6433
261,0,0,0.0
262,0,0,0.0025
263,0,0,0.1081
264,0,0,0.0
265,0,0,0.0025
266,0,0,0.0
267,0,0,0.038
268,0,0,0.01
269,0,0,0.1087
270,0,0,0.0
271,0,0,0.0
272,0,0,0.0
273,0,0,0.0
274,0,0,0.0
275,0,0,0.0
276,0,0,0.0
277,1,1,0.812
278,0,0,0.142
279,0,0,0.0
280,0,0,0.012
281,0,0,0.0
282,0,0,0.0
283,0,0,0.02
284,0,0,0.0
285,0,0,0.0
286,0,0,0.0528
287,0,0,0.0
288,0,0,0.0
289,0,0,0.0
290,0,0,0.0
291,0,0,0.0075
292,0,0,0.0065
293,0,0,0.0
294,0,0,0.0
295,0,0,0.0
296,0,0,0.0
297,0,0,0.01
298,0,0,0.0
299,0,0,0.0
300,0,0,0.0
301,0,0,0.0033
302,0,0,0.0
303,0,0,0.0
304,0,0,0.05
305,0,0,0.0014
306,0,0,0.0
307,0,0,0.0212
308,0,0,0.02
309,0,0,0.0
310,0,0,0.026
311,0,0,0.0
312,0,0,0.0
313,0,0,0.0
314,0,0,0.0162
315,0,0,0.1267
316,0,0,0.0
317,0,0,0.0
318,0,0,0.0183
319,0,0,0.0
320,0,0,0.0
321,0,0,0.1303
322,0,0,0.0157
323,0,0,0.01
324,0,0,0.0
325,0,0,0.0
326,0,0,0.0017
327,0,0,0.0
328,0,0,0.0
329,0,0,0.0
330,0,0,0.0
331,0,0,0.0
332,0,0,0.0
333,0,0,0.0
334,0,0,0.0
335,0,0,0.0
336,0,0,0.0
337,0,0,0.015
338,0,0,0.0
339,0,0,0.0
340,0,0,0.0
341,0,0,0.013
342,0,0,0.009
343,0,0,0.0
344,0,0,0.005
345,0,0,0.0
346,1,1,0.795
347,0,0,0.0
348,0,0,0.1449
349,0,0,0.0
350,0,0,0.0
351,0,0,0.0125
352,0,0,0.0033
353,0,0,0.0
354,0,0,0.0
355,0,0,0.0
356,0,0,0.0083
357,0,0,0.0
358,0,0,0.0
359,0,0,0.0
360,1,1,0.7408
361,0,0,0.0014
362,0,0,0.0
363,0,0,0.0
364,0,0,0.0
365,0,0,0.0
366,0,0,0.0
367,0,0,0.044
368,0,0,0.0
369,0,0,0.0
370,0,0,0.01
371,0,0,0.0292
372,0,0,0.0
373,0,0,0.0
374,0,0,0.004
375,0,0,0.01
376,0,0,0.0
377,0,0,0.0
378,0,0,0.0075
379,0,0,0.0
380,0,0,0.014
381,0,0,0.0
382,0,0,0.0
383,0,0,0.0
384,0,0,0.0
385,1,0,0.1042
386,0,0,0.0
387,0,0,0.0
388,0,0,0.0
389,0,0,0.012
390,0,0,0.0538
391,0,0,0.01
392,0,0,0.0405
393,0,0,0.0
394,0,0,0.0
395,0,0,0.0
396,0,0,0.0
397,0,0,0.0
398,0,0,0.0
399,0,0,0.005
400,0,0,0.0
401,0,0,0.0352
402,0,0,0.0
403,0,0,0.0
404,0,0,0.0533
405,0,0,0.0
406,0,0,0.03
407,0,0,0.0
408,0,0,0.01
409,0,0,0.0
410,0,0,0.0
411,0,0,0.0
412,0,0,0.01
413,0,0,0.0
414,0,0,0.0
415,0,0,0.0
416,0,0,0.0
417,0,0,0.0203
418,0,0,0.0
419,0,0,0.0
420,0,0,0.0
421,0,0,0.0
422,0,0,0.0
423,0,0,0.0
424,0,0,0.01
425,0,0,0.0
426,0,0,0.0
427,0,0,0.0
428,0,0,0.0
429,0,0,0.0
430,0,0,0.0
431,0,0,0.0
432,0,0,0.0
433,0,0,0.0
434,0,0,0.0033
435,0,0,0.0
436,0,0,0.0
437,0,0,0.0
438,0,0,0.0
439,0,0,0.0
440,0,0,0.0
441,0,0,0.0
442,0,0,0.0
443,0,0,0.0
444,0,0,0.0
445,0,0,0.0
446,0,0,0.0
447,0,0,0.0
448,0,0,0.0
449,0,0,0.0
450,0,0,0.0
451,0,0,0.0
452,0,0,0.0
453,0,0,0.0
454,0,0,0.0
455,0,0,0.0
456,0,0,0.0
457,0,0,0.0
458,0,0,0.0
459,0,0,0.0
460,0,0,0.0
461,0,0,0.0
462,0,0,0.0
463,0,0,0.0
464,0,0,0.0
465,0,0,0.0
466,0,0,0.0
467,0,0,0.0
468,0,0,0.0
469,0,0,0.0
470,0,0,0.0
471,0,0,0.0
472,0,0,0.01
473,0,0,0.0
474,0,0,0.0
475,0,0,0.0
476,0,0,0.0
477,0,0,0.0333
478,0,0,0.0
479,0,0,0.0
480,0,0,0.0
481,0,0,0.0
482,0,0,0.0
483,0,0,0.0
484,0,0,0.0
485,0,0,0.002
486,0,0,0.0
487,0,0,0.0
488,0,0,0.0
489,0,0,0.0
490,0,0,0.0
491,0,0,0.0
492,0,0,0.0
493,0,0,0.0
494,0,0,0.0
495,0,0,0.0
496,0,0,0.0
497,0,0,0.0
498,0,0,0.0
499,0,0,0.0
500,0,0,0.0
501,0,0,0.0
502,0,0,0.0
503,0,0,0.0
504,0,0,0.0033
505,0,0,0.0
506,0,0,0.0
507,0,0,0.0
508,0,0,0.0
509,0,0,0.0
510,0,0,0.0
511,0,0,0.0
512,0,0,0.0
513,0,0,0.0
514,0,0,0.0
515,0,0,0.0
516,0,0,0.0
517,0,0,0.006
518,0,0,0.0
519,0,0,0.0
520,0,0,0.0
521,0,0,0.0
522,0,0,0.0
523,0,0,0.0
524,0,0,0.0
525,0,0,0.0
526,0,0,0.0
527,0,0,0.0
528,0,0,0.0
529,0,0,0.0
530,0,0,0.0
531,0,0,0.0
532,0,0,0.0
533,0,0,0.0
534,0,0,0.0
535,0,0,0.0
536,0,0,0.0
537,0,0,0.01
538,0,0,0.0
539,0,0,0.0
540,0,0,0.0
541,0,0,0.0
542,0,0,0.0
543,0,0,0.0
544,0,0,0.0
545,0,0,0.0
546,0,0,0.0
547,0,0,0.0
548,0,0,0.0
549,0,0,0.0
550,0,0,0.0
551,0,0,0.0
552,0,0,0.0
553,0,0,0.0
554,0,0,0.0
555,0,0,0.0
556,0,0,0.0
557,0,0,0.0
558,0,0,0.0
559,0,0,0.0
560,0,0,0.0
561,0,0,0.0
562,0,0,0.0
563,0,0,0.0
564,0,0,0.0
565,0,0,0.0
566,0,0,0.0
567,0,0,0.0
568,0,0,0.0
569,0,0,0.0
570,0,0,0.002
571,0,0,0.0
572,0,0,0.0
573,0,0,0.0
574,0,0,0.0
575,0,0,0.0
576,0,0,0.0
577,0,0,0.0
578,0,0,0.0
579,0,0,0.0
580,0,0,0.0
581,0,0,0.0
582,0,0,0.0
583,0,0,0.0
584,0,0,0.0
585,0,0,0.0
586,0,0,0.0
587,0,0,0.0
588,0,0,0.0
589,0,0,0.0
590,0,0,0.0
591,0,0,0.0
592,0,0,0.0
593,0,0,0.0
594,0,0,0.0
595,0,0,0.0
596,0,0,0.0
597,0,0,0.0
598,0,0,0.0
599,0,0,0.0
600,0,0,0.0
601,0,0,0.0
602,0,0,0.0
603,0,0,0.0
604,0,0,0.0
605,0,0,0.0
606,0,0,0.0
607,0,0,0.0
608,0,0,0.0
609,0,0,0.0
610,0,0,0.0
611,0,0,0.0031
612,0,0,0.0
613,0,0,0.0
614,0,0,0.0
615,0,0,0.0
616,0,0,0.0
617,0,0,0.0
618,0,0,0.0
619,0,0,0.0
620,0,0,0.0
621,0,0,0.0
622,0,0,0.0
623,0,0,0.0
624,0,0,0.0017
625,0,0,0.0
626,0,0,0.0
627,0,0,0.0
628,0,0,0.0
629,0,0,0.0
630,0,0,0.0
631,0,0,0.0
632,0,0,0.0
633,0,0,0.0
634,0,0,0.0
635,0,0,0.0
636,0,0,0.0
637,0,0,0.0
638,0,0,0.0
639,0,0,0.0
640,0,0,0.0
641,0,0,0.0
642,0,0,0.0
643,0,0,0.0
644,0,0,0.0
645,0,0,0.0
646,0,0,0.0
647,0,0,0.0
648,0,0,0.0
649,0,0,0.0
650,0,0,0.0
651,0,0,0.0
652,0,0,0.0
653,0,0,0.0
654,0,0,0.0
655,0,0,0.0
656,0,0,0.0
657,0,0,0.0
658,0,0,0.0
659,0,0,0.0
660,0,0,0.0
661,0,0,0.0
662,0,0,0.0
663,0,0,0.0
664,0,0,0.0
665,0,0,0.0
666,0,0,0.0
667,0,0,0.0
668,0,0,0.0
669,0,0,0.0
670,0,0,0.0
671,0,0,0.0
672,0,0,0.005
673,0,0,0.0
674,0,0,0.0
675,0,0,0.0
676,0,0,0.0
677,0,0,0.0
678,0,0,0.0
679,0,0,0.0
680,0,0,0.0
681,0,0,0.0
682,0,0,0.0
683,0,0,0.0
684,0,0,0.0
685,0,0,0.0
686,0,0,0.0
687,0,0,0.0
688,0,0,0.0
689,0,0,0.0
690,0,0,0.0
691,0,0,0.0
692,0,0,0.0
693,0,0,0.0
694,0,0,0.0
695,0,0,0.0
696,0,0,0.0
697,0,0,0.0
698,0,0,0.0
699,0,0,0.0
700,0,0,0.0
701,0,0,0.0
702,0,0,0.0
703,0,0,0.0
704,0,0,0.0
705,0,0,0.0
706,0,0,0.0
707,0,0,0.0
708,0,0,0.0
709,0,0,0.0
710,0,0,0.0
711,0,0,0.0
712,0,0,0.0
713,0,0,0.0
714,0,0,0.0
715,0,0,0.0
716,0,0,0.0
717,0,0,0.0
718,0,0,0.0
719,0,0,0.0
720,0,0,0.0
721,0,0,0.0
722,0,0,0.0
723,0,0,0.0
724,0,0,0.0
725,0,0,0.0
726,0,0,0.0
727,0,0,0.0
728,0,0,0.0
729,0,0,0.002
730,0,0,0.0
731,0,0,0.0
732,0,0,0.0
733,0,0,0.0
734,0,0,0.0
735,0,0,0.0
736,0,0,0.0
737,0,0,0.0
738,0,0,0.0
739,0,0,0.0
740,0,0,0.0
741,0,0,0.0
742,0,0,0.0
743,0,0,0.0
744,0,0,0.0
745,0,0,0.0
746,0,0,0.0
747,0,0,0.0
748,0,0,0.0
749,0,0,0.0
750,0,0,0.0
751,0,0,0.0
752,0,0,0.0
753,0,0,0.0
754,0,0,0.0
755,0,0,0.0
756,0,0,0.0
757,0,0,0.0
758,0,0,0.0
759,0,0,0.0
760,0,0,0.0
761,0,0,0.0
762,0,0,0.0
763,0,0,0.0
764,0,0,0.0
765,0,0,0.0
766,0,0,0.0
767,0,0,0.0
768,0,0,0.0
769,0,0,0.0
770,0,0,0.0
771,0,0,0.0
772,0,0,0.0
773,0,0,0.0
774,0,0,0.0
775,0,0,0.0
776,0,0,0.0
777,0,0,0.0
778,0,0,0.0
779,0,0,0.0
780,0,0,0.0
781,0,0,0.0
782,0,0,0.0
783,0,0,0.0
784,0,0,0.0
785,0,0,0.0
786,0,0,0.0
787,0,0,0.0
788,0,0,0.0
789,0,0,0.0
790,0,0,0.0
791,0,0,0.0
792,0,0,0.0
793,0,0,0.0
794,0,0,0.0
795,0,0,0.0
796,0,0,0.0
797,0,0,0.0
798,0,0,0.0
799,0,0,0.0
800,0,0,0.0
801,0,0,0.0
802,0,0,0.0
803,0,0,0.0
804,0,0,0.0
805,0,0,0.0014
806,0,0,0.0
807,0,0,0.0
808,0,0,0.0
809,0,0,0.0
810,0,0,0.0
811,0,0,0.0014
812,0,0,0.0
813,0,0,0.3226
814,0,0,0.0
815,0,0,0.0316
816,0,0,0.0
817,0,0,0.008
818,0,0,0.0
819,0,0,0.0
820,0,0,0.1448
821,0,0,0.0
822,0,0,0.1089
823,0,0,0.057
824,0,0,0.022
825,0,0,0.0785
826,0,0,0.0
827,0,0,0.0
828,0,0,0.0
829,0,0,0.1737
830,0,0,0.0025
831,0,0,0.01
832,0,0,0.0025
833,0,0,0.004
834,0,0,0.2304
835,0,0,0.0
836,0,0,0.0
837,0,0,0.0653
838,0,0,0.0568
839,0,0,0.0
840,0,0,0.0
841,0,0,0.0333
842,0,0,0.0694
843,0,0,0.0
844,0,0,0.0
845,0,0,0.0
846,0,0,0.0
847,0,0,0.0533
848,0,0,0.0
849,0,0,0.01
850,0,0,0.0014
851,0,0,0.0
852,0,0,0.0303
853,0,0,0.032
854,0,0,0.0
855,0,0,0.0
856,0,0,0.0
857,0,0,0.01
858,0,0,0.0
859,0,0,0.0
860,0,0,0.0
861,0,0,0.0
862,0,0,0.0138
863,0,0,0.0
864,0,0,0.0
865,0,0,0.0
866,0,1,0.5488
867,0,0,0.0
868,0,0,0.0
869,0,0,0.1165
870,0,0,0.0972
871,0,0,0.0
872,0,0,0.0
873,0,0,0.0
874,0,0,0.0
875,0,0,0.0283
876,0,0,0.0
877,0,0,0.0
878,0,0,0.0101
879,0,0,0.01
880,0,0,0.005
881,0,0,0.0033
882,0,0,0.02
883,0,0,0.0
884,0,0,0.01
885,0,0,0.03
886,0,0,0.0
887,0,0,0.0
888,0,0,0.0
889,0,0,0.0
890,0,0,0.0
891,0,0,0.0175
892,0,0,0.0
893,0,0,0.0
894,0,0,0.0
895,0,0,0.0328
896,0,0,0.0
897,0,0,0.0
898,0,0,0.0
899,0,0,0.0
900,0,0,0.2007
901,0,0,0.012
902,0,0,0.0
903,0,0,0.0
904,0,0,0.0
905,1,1,0.581
906,0,0,0.0
907,0,0,0.0067
908,0,0,0.0
909,0,0,0.0
910,0,0,0.0
911,1,1,0.6753
912,0,0,0.0
913,0,0,0.0
914,0,0,0.005
915,0,0,0.0
916,0,0,0.0062
917,0,0,0.0
918,0,0,0.0
919,0,0,0.0
920,0,0,0.0358
921,0,0,0.0117
922,0,0,0.0
923,0,0,0.0025
924,0,0,0.2091
925,0,0,0.02
926,0,0,0.0
927,0,0,0.0
928,0,0,0.0033
929,0,0,0.0
930,0,0,0.0
931,0,0,0.0
932,0,0,0.0
933,0,0,0.002
934,0,0,0.0
935,0,0,0.0
936,0,0,0.0
937,0,0,0.0
938,0,0,0.0
939,0,0,0.01
940,1,1,0.4052
941,0,0,0.0
942,0,0,0.014
943,0,0,0.015
944,0,0,0.1496
945,0,0,0.006
946,0,0,0.0
947,0,0,0.0
948,0,0,0.017
949,0,0,0.0
950,0,0,0.0075
951,0,0,0.0025
952,0,0,0.0
953,0,0,0.0
954,0,0,0.012
955,0,0,0.0
956,0,0,0.0
957,0,0,0.004
958,1,1,0.6707
959,0,0,0.0
960,0,0,0.033
961,0,0,0.0
962,0,0,0.0
963,0,0,0.0
964,0,0,0.0
965,0,0,0.0
966,0,0,0.0
967,0,0,0.0303
968,0,0,0.0
969,0,0,0.0
970,0,0,0.005
971,0,0,0.0
972,0,0,0.0
973,0,0,0.0
974,0,0,0.0
975,0,0,0.0
976,0,0,0.0
977,0,0,0.0
978,0,0,0.0
979,0,0,0.0
980,0,0,0.0333
981,0,0,0.02
982,0,0,0.01
983,0,0,0.02
984,0,0,0.0
985,0,0,0.0083
986,0,0,0.0
987,0,0,0.0
988,0,0,0.0
989,0,0,0.015
990,0,0,0.1018
991,0,0,0.0
992,0,1,0.562
993,0,0,0.0675
994,0,0,0.018
995,0,0,0.1114
996,0,0,0.0
997,0,0,0.0
998,0,0,0.0
999,1,1,0.7001
1000,0,0,0.0
1001,0,0,0.006
1002,0,0,0.0
1003,0,0,0.0
1004,0,0,0.0
1005,0,0,0.0
1006,1,0,0.2017
1007,0,0,0.0
1008,0,0,0.04
1009,0,0,0.0
1010,0,0,0.0
1011,1,1,0.8537
1012,0,0,0.0
1013,0,0,0.0
1014,0,0,0.005
1015,0,0,0.012
1016,0,0,0.0
1017,0,0,0.0
1018,0,0,0.0054
1019,0,0,0.0
1020,0,0,0.0383
1021,0,0,0.0
1022,0,0,0.0
1023,0,0,0.0
1024,0,0,0.0
1025,0,0,0.0
1026,0,0,0.01
1027,0,0,0.0
1028,0,0,0.0
1029,1,1,0.5334
1030,0,0,0.0
1031,0,0,0.0
1032,0,0,0.0
1033,0,0,0.0
1034,0,0,0.0
1035,0,0,0.004
1036,0,0,0.0
1037,0,0,0.0
1038,0,0,0.0
1039,1,1,0.6591
1040,0,0,0.0
1041,0,0,0.0712
1042,0,0,0.0288
1043,0,0,0.0017
1044,0,0,0.0
1045,0,0,0.0
1046,0,0,0.032
1047,0,0,0.0
1048,0,0,0.0
1049,0,0,0.0
1050,0,0,0.0
1051,0,0,0.0
1052,0,0,0.0
1053,0,0,0.0
1054,0,0,0.0056
1055,1,1,0.6955
1056,0,0,0.0338
1057,0,0,0.0
1058,0,0,0.0
1059,0,0,0.0
1060,0,0,0.0
1061,0,0,0.0073
1062,0,0,0.0
1063,0,0,0.0
1064,0,0,0.0
1065,0,0,0.0
1066,0,0,0.0
1067,0,0,0.015
1068,0,0,0.0
1069,0,0,0.0
1070,0,0,0.0
1071,0,0,0.0
1072,0,0,0.0
1073,0,0,0.0
1074,0,0,0.0
1075,0,0,0.0
1076,0,0,0.0045
1077,0,0,0.0
1078,0,0,0.0
1079,0,0,0.0
1080,0,0,0.0
1081,0,0,0.0
1082,0,0,0.0258
1083,0,0,0.01
1084,0,0,0.044
1085,0,0,0.0
1086,0,0,0.0
1087,0,0,0.0
1088,0,0,0.01
1089,0,0,0.0
1090,0,0,0.02
1091,0,0,0.0
1092,0,0,0.0
1093,0,0,0.0
1094,0,0,0.0
1095,0,0,0.0543
1096,0,0,0.0
1097,0,0,0.0
1098,0,0,0.0
1099,0,0,0.0
1100,0,0,0.0
1101,0,0,0.0
1102,0,0,0.0
1103,0,0,0.0
1104,0,0,0.0025
1105,0,0,0.0595
1106,0,0,0.0
1107,0,0,0.0
1108,0,0,0.0
1109,0,0,0.0017
1110,1,1,0.8866
1111,0,0,0.0
1112,0,0,0.0374
1113,0,0,0.0
1114,0,0,0.0
1115,0,0,0.2925
1116,0,0,0.0351
1117,0,0,0.0
1118,0,0,0.0
1119,0,0,0.0
1120,0,0,0.0
1121,0,0,0.0
1122,0,0,0.0
1123,0,0,0.0
1124,0,0,0.0
1125,0,0,0.0068
1126,0,0,0.051
1127,0,0,0.012
1128,0,0,0.0
1129,0,0,0.0
1130,0,0,0.0
1131,0,0,0.0
1132,0,0,0.0
1133,0,0,0.0
1134,0,0,0.0
1135,0,0,0.0
1136,0,0,0.012
1137,0,0,0.0
1138,0,0,0.0717
1139,0,0,0.005
1140,0,0,0.0
1141,0,0,0.0
1142,0,0,0.01
1143,0,0,0.0
1144,0,0,0.005
1145,0,0,0.0025
1146,0,0,0.0025
1147,0,0,0.0
1148,0,0,0.0
1149,0,0,0.0
1150,0,0,0.0
1151,0,0,0.0152
1152,0,0,0.0
1153,0,0,0.1134
1154,0,0,0.01
1155,0,0,0.0
1156,0,0,0.0
1157,0,0,0.0
1158,0,0,0.2395
1159,0,0,0.0
1160,0,0,0.0
1161,0,0,0.0
1162,0,0,0.0
1163,0,0,0.0267
1164,0,0,0.02
1165,0,0,0.2079
1166,0,0,0.0
1167,0,0,0.0
1168,0,0,0.0363
1169,0,0,0.0
1170,0,0,0.0
1171,0,0,0.016
1172,0,0,0.0
1173,0,0,0.0
1174,0,0,0.0233
1175,0,0,0.0
1176,0,0,0.0
1177,0,0,0.0
1178,0,0,0.0
1179,0,0,0.0
1180,0,0,0.2662
1181,0,0,0.0
1182,1,0,0.3463
1183,0,0,0.0
1184,0,0,0.0
1185,0,0,0.0
1186,0,0,0.0058
1187,0,0,0.0
1188,0,0,0.0
1189,0,0,0.0
1190,0,0,0.0083
1191,0,0,0.0
1192,0,0,0.0
1193,0,0,0.0
1194,1,1,0.7242
1195,0,0,0.0
1196,0,0,0.0029
1197,0,0,0.0
1198,0,0,0.0
1199,0,0,0.1429
1200,0,0,0.1054
1201,0,0,0.0
1202,0,0,0.0
1203,0,0,0.0
1204,0,0,0.0
1205,0,0,0.0
1206,0,0,0.0
1207,0,0,0.0
1208,0,0,0.0
1209,0,0,0.0
1210,0,0,0.0107
1211,0,0,0.0
1212,0,0,0.0
1213,0,0,0.0
1214,0,0,0.0
1215,0,0,0.0
1216,0,0,0.0133
1217,0,0,0.0
1218,0,0,0.0
1219,0,0,0.0
1220,0,0,0.01
1221,0,0,0.0
1222,0,0,0.035
1223,0,0,0.0
1224,0,0,0.0
1225,0,0,0.0
1226,0,0,0.0
1227,0,0,0.0
1228,0,0,0.0
1229,0,0,0.0
1230,0,0,0.0
1231,0,0,0.0033
1232,0,0,0.01
1233,0,0,0.0117
1234,1,0,0.0332
1235,0,0,0.0
1236,0,0,0.0
1237,0,0,0.0318
1238,0,1,0.5878
1239,0,0,0.0
1240,0,0,0.0
1241,0,0,0.0133
1242,0,1,0.4161
1243,0,0,0.0
1244,0,0,0.0
1245,0,0,0.0
1246,0,0,0.0
1247,0,0,0.0
1248,0,0,0.0476
1249,0,0,0.0
1250,0,0,0.0
1251,0,0,0.0
1252,0,0,0.03
1253,0,0,0.0
1254,0,0,0.0
1255,0,0,0.0
1256,0,0,0.0
1257,0,0,0.0
1258,0,0,0.0
1259,0,0,0.0175
1260,0,0,0.0
1261,0,0,0.0442
1262,0,0,0.0483
1263,0,0,0.0
1264,0,0,0.0
1265,0,0,0.0
1266,0,0,0.0
1267,0,0,0.0
1268,0,0,0.02
1269,0,0,0.0
1270,0,0,0.02
1271,0,0,0.0017
1272,0,0,0.0
1273,0,0,0.0702
1274,0,0,0.0
1275,0,0,0.1641
1276,0,0,0.0
1277,0,0,0.0
1278,0,0,0.0212
1279,0,0,0.0
1280,0,0,0.0
1281,0,0,0.0
1282,1,1,0.743
1283,0,0,0.0
1284,0,0,0.0092
1285,0,0,0.0593
1286,0,0,0.0
1287,0,0,0.0
1288,0,0,0.0
1289,0,0,0.0
1290,0,0,0.0132
1291,0,0,0.0033
1292,0,0,0.005
1293,0,0,0.005
1294,0,0,0.0125
1295,1,0,0.0788
1296,0,0,0.0
1297,0,0,0.033
1298,0,0,0.0067
1299,0,0,0.0
1300,0,0,0.0
1301,0,0,0.0
1302,0,0,0.0
1303,0,0,0.01
1304,0,0,0.0
1305,0,0,0.0329
1306,0,0,0.0
1307,0,0,0.002
1308,0,0,0.0
1309,0,0,0.0
1310,0,0,0.0565
1311,0,0,0.0
1312,0,0,0.0
1313,0,0,0.0
1314,0,0,0.0
1315,0,0,0.0424
1316,0,0,0.0
1317,0,0,0.0
1318,0,0,0.0066
1319,0,0,0.005
1320,0,0,0.0
1321,0,0,0.038
1322,0,0,0.0
1323,0,0,0.0
1324,0,0,0.0
1325,0,0,0.0
1326,0,0,0.0
1327,1,1,0.7462
1328,0,0,0.0033
1329,0,0,0.0334
1330,0,0,0.0
1331,0,0,0.1759
1332,0,0,0.0
1333,0,0,0.005
1334,1,1,0.4754
1335,0,0,0.0
1336,0,0,0.002
1337,0,0,0.0256
1338,0,0,0.0414
1339,0,0,0.007
